"Cancer_type","group","c_index"
"ACC","drug_cnv_snp",0.983950617283951
"ACC","drug_cnv_snp",0.95593635250918
"ACC","drug_cnv_snp",0.990291262135922
"ACC","drug_cnv_snp",0.992009132420091
"ACC","drug_cnv_snp",0.9750656167979
"ACC","drug_cnv_snp",0.997512437810945
"ACC","drug_cnv_snp",0.996119016817594
"ACC","drug_cnv_snp",0.985333333333333
"ACC","drug_cnv_snp",0.961791831357049
"ACC","drug_cnv_snp",0.996216897856242
"ACC","drug_cnv_snp",0.996143958868895
"ACC","drug_cnv_snp",0.970360824742268
"ACC","drug_cnv_snp",0.988265971316819
"ACC","drug_cnv_snp",0.991002570694087
"ACC","drug_cnv_snp",0.99614890885751
"ACC","drug_cnv_snp",0.985488126649076
"ACC","drug_cnv_snp",0.929494712103408
"ACC","drug_cnv_snp",0.978409090909091
"ACC","drug_cnv_snp",0.990314769975787
"ACC","drug_cnv_snp",0.959442332065906
"ACC","drug_cnv_snp",0.99009900990099
"ACC","drug_cnv_snp",0.946651532349603
"ACC","drug_cnv_snp",0.978409090909091
"ACC","drug_cnv_snp",0.990857142857143
"ACC","drug_cnv_snp",0.996610169491525
"ACC","drug_cnv_snp",0.974799541809851
"ACC","drug_cnv_snp",0.920143027413588
"ACC","drug_cnv_snp",0.974863387978142
"ACC","drug_cnv_snp",0.997797356828194
"ACC","drug_cnv_snp",0.971394517282479
"ACC","drug_cnv_snp",0.997687861271676
"ACC","drug_cnv_snp",0.893034825870647
"ACC","drug_cnv_snp",0.989424206815511
"ACC","drug_cnv_snp",0.942786069651741
"ACC","drug_cnv_snp",0.991239048811014
"ACC","drug_cnv_snp",0.990804597701149
"ACC","drug_cnv_snp",0.98661800486618
"ACC","drug_cnv_snp",0.978586723768737
"ACC","drug_cnv_snp",0.989424206815511
"ACC","drug_cnv_snp",0.967625899280576
"ACC","drug_cnv_snp",0.955112219451371
"ACC","drug_cnv_snp",0.996602491506229
"ACC","drug_cnv_snp",0.947368421052632
"ACC","drug_cnv_snp",0.994331065759637
"BLCA","snp",0.793636082792709
"BLCA","snp",0.809728874631981
"BLCA","snp",0.828636542928518
"BLCA","snp",0.799004492996212
"BLCA","snp",0.789953937266945
"BLCA","snp",0.787181521643304
"BLCA","snp",0.800121929977356
"BLCA","snp",0.7815649867374
"BLCA","snp",0.803605643616095
"BLCA","snp",0.81127924206367
"BLCA","snp",0.836050685464689
"BLCA","snp",0.775706314763971
"BLCA","snp",0.787181521643304
"BLCA","snp",0.818511400366908
"BLCA","snp",0.802404809619239
"BLCA","snp",0.777309448542325
"BLCA","snp",0.810051900811782
"BLCA","snp",0.799518704878582
"BLCA","snp",0.795902883156297
"BLCA","snp",0.796923624077532
"BLCA","snp",0.816863259065094
"BLCA","snp",0.805649075248131
"BLCA","snp",0.811671432284897
"BLCA","snp",0.80796467913971
"BLCA","snp",0.803282294966561
"BLCA","snp",0.790198262419247
"BLCA","snp",0.812105217617029
"BLCA","snp",0.768980330092697
"BLCA","snp",0.803242769500438
"BLCA","snp",0.775740666932377
"BLCA","snp",0.822600729342702
"BLCA","snp",0.772824536376605
"BLCA","snp",0.815416175636157
"BLCA","snp",0.767442882249561
"BLCA","snp",0.812936290536361
"BLCA","snp",0.815416175636157
"BLCA","snp",0.797140852482021
"BLCA","snp",0.784574111334675
"BLCA","snp",0.810905853549967
"BLCA","snp",0.800702987697715
"BLCA","snp",0.78798539365871
"BLCA","snp",0.778217109992811
"BLCA","snp",0.817954108332961
"BLCA","snp",0.823249934617732
"BLCA","snp",0.789819228347873
"BLCA","snp",0.80299130126043
"BLCA","snp",0.81445541969453
"BLCA","snp",0.830660708026639
"BLCA","snp",0.827568382511307
"BLCA","snp",0.798927849547412
"BLCA","drug",0.780994609633107
"BLCA","drug",0.761238805311687
"BLCA","drug",0.781126438801511
"BLCA","drug",0.773527599260498
"BLCA","drug",0.775887150099185
"BLCA","drug",0.790905506636877
"BLCA","drug",0.767963085036256
"BLCA","drug",0.792944652011469
"BLCA","drug",0.797799174690509
"BLCA","drug",0.795422597083114
"BLCA","drug",0.791574086176099
"BLCA","drug",0.775023407196041
"BLCA","drug",0.789197624517751
"BLCA","drug",0.768250704099423
"BLCA","drug",0.815220179563916
"BLCA","drug",0.783689509007418
"BLCA","drug",0.77379034014198
"BLCA","drug",0.801721888859901
"BLCA","drug",0.781361533377396
"BLCA","drug",0.747888810696692
"BLCA","drug",0.793649385782075
"BLCA","drug",0.779648151455617
"BLCA","drug",0.777633986344772
"BLCA","drug",0.782732279268076
"BLCA","drug",0.740829452206698
"BLCA","drug",0.786989462683968
"BLCA","drug",0.797061036604258
"BLCA","drug",0.802749890877346
"BLCA","drug",0.761267605633803
"BLCA","drug",0.791231915826392
"BLCA","drug",0.785375408052231
"BLCA","drug",0.787929222144359
"BLCA","drug",0.797799174690509
"BLCA","drug",0.787006900143211
"BLCA","drug",0.778576407039554
"BLCA","drug",0.801036941023979
"BLCA","drug",0.784070719764267
"BLCA","drug",0.781312386077597
"BLCA","drug",0.781584488506756
"BLCA","drug",0.747888810696692
"BLCA","drug",0.815264340013822
"BLCA","drug",0.757987220447284
"BLCA","drug",0.771351067553378
"BLCA","drug",0.803339275620679
"BLCA","drug",0.812876820842318
"BLCA","drug",0.772294600166689
"BLCA","drug",0.790075671914412
"BLCA","drug",0.788733620652127
"BLCA","drug",0.771445020149683
"BLCA","drug",0.755693950177936
"BLCA","cnv",0.751907082041439
"BLCA","cnv",0.717405234879479
"BLCA","cnv",0.77957016181554
"BLCA","cnv",0.769024571854058
"BLCA","cnv",0.740879142491887
"BLCA","cnv",0.728582297742835
"BLCA","cnv",0.756661011875062
"BLCA","cnv",0.769302462474247
